#Position	Illumina Universal Adapter	Illumina Small RNA 3' Adapter	Illumina Small RNA 5' Adapter	Nextera Transposase Sequence	PolyA	PolyG
135-139	0.014841866657071925	0.0	0.0	0.010794084841506854	0.008545317166192926	0.0
140-144	0.014841866657071925	0.0	0.0	0.011243838376569639	0.008545317166192926	0.0
145-149	0.014841866657071925	0.0	0.0	0.011693591911632426	0.008905119994243156	0.0
150-154	0.014841866657071925	0.0	0.0	0.01214334544669521	0.008995070701255712	0.0
155-159	0.015201669485122155	0.0	0.0	0.01214334544669521	0.008995070701255712	0.0
160-164	0.015291620192134708	0.0	0.0	0.01214334544669521	0.009264922822293385	0.0
165-169	0.015291620192134708	0.0	0.0	0.01250314827474544	0.009804627064368725	0.0
170-174	0.015291620192134708	0.0	0.0	0.012593098981757997	0.010344331306444068	0.0
175-179	0.015291620192134708	0.0	0.0	0.012593098981757997	0.010704134134494296	0.0
180-184	0.01556147231317238	0.0	0.0	0.013762458172921238	0.010794084841506854	0.0
185-189	0.04794372683769295	0.0	0.0	0.013942359586946354	0.010794084841506854	0.0
190-194	0.17702299140071243	0.0	0.0	0.013942359586946354	0.010794084841506854	0.0
195-199	0.2747094592163495	0.0	0.0	0.013942359586946354	0.010794084841506854	0.0
200-204	0.30286403051127986	0.0	0.0	0.013942359586946354	0.010794084841506854	0.0
205-209	0.30358363616738027	0.0	0.0	0.014122261000971466	0.010794084841506854	0.0
210-214	0.30358363616738027	0.0	0.0	0.01439211312200914	0.010794084841506854	0.0
215-219	0.30358363616738027	0.0	0.0	0.014841866657071925	0.011243838376569639	0.0
220-224	0.30358363616738027	0.0	0.0	0.014841866657071925	0.011243838376569639	0.0
225-229	0.30358363616738027	0.0	0.0	0.014841866657071925	0.011243838376569639	0.0
230-234	0.30358363616738027	0.0	0.0	0.014841866657071925	0.01160364120461987	0.0
235-239	0.30358363616738027	8.995070701255712E-5	0.0	0.014841866657071925	0.011693591911632426	0.0
240-244	0.30358363616738027	4.4975353506278564E-4	0.0	0.014841866657071925	0.011693591911632426	0.0
245-249	0.30358363616738027	4.4975353506278564E-4	0.0	0.014841866657071925	0.011963444032670096	0.0
250-254	0.30358363616738027	4.4975353506278564E-4	0.0	0.014841866657071925	0.019159500593674668	0.0
255-259	0.30358363616738027	4.4975353506278564E-4	0.0	0.014841866657071925	0.06494441046306623	0.0
260-264	0.30358363616738027	4.4975353506278564E-4	0.0	0.014841866657071925	0.11225848235167128	0.0
265-269	0.30358363616738027	4.4975353506278564E-4	0.0	0.014841866657071925	0.1253912855755046	0.0
270-274	0.30358363616738027	4.4975353506278564E-4	0.0	0.014841866657071925	0.12638074335264274	0.0
275-279	0.30358363616738027	4.4975353506278564E-4	0.0	0.014841866657071925	0.12638074335264274	0.0
280-284	0.3042132911164682	4.4975353506278564E-4	0.0	0.014841866657071925	0.12638074335264274	0.0
285-289	0.30583240384269417	4.4975353506278564E-4	0.0	0.014841866657071925	0.12638074335264274	1.7990141402511424E-4
290-294	0.31266865757564855	4.4975353506278564E-4	0.0	0.014841866657071925	0.12638074335264274	4.4975353506278564E-4
295-299	0.31671643939121363	4.4975353506278564E-4	0.0	0.014841866657071925	0.12683049688770553	4.4975353506278564E-4
300-304	0.32894973554492135	4.4975353506278564E-4	0.0	0.014841866657071925	0.12683049688770553	0.0017090634332385852
305-309	0.3433418486669305	0.0016191127262260283	0.0	0.014841866657071925	0.12683049688770553	0.003148274745439499
310-314	0.35035800381390997	0.005576943834778541	0.0	0.014841866657071925	0.12683049688770553	0.003148274745439499
315	0.35035800381390997	0.007196056561004569	0.0	0.014841866657071925	0.12683049688770553	0.003148274745439499
